Symbol,Company Name,INCOME,Revenue From Operations [Gross],Less: Excise/Sevice Tax/Other Levies,Revenue From Operations [Net],Total Operating Revenues,Other Income,Total Revenue,EXPENSES,Cost Of Materials Consumed,Purchase Of Stock-In Trade,Operating And Direct Expenses,"Changes In Inventories Of FG,WIP And Stock-In Trade",Employee Benefit Expenses,Finance Costs,Depreciation And Amortisation Expenses,Other Expenses,Total Expenses,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",Exceptional Items,Profit/Loss Before Tax,Tax Expenses-Continued Operations,Current Tax,Less: MAT Credit Entitlement,Deferred Tax,Tax For Earlier Years,Total Tax Expenses,Profit/Loss After Tax And Before ExtraOrdinary Items,Profit/Loss From Continuing Operations,Profit/Loss For The Period,OTHER ADDITIONAL INFORMATION,EARNINGS PER SHARE,Basic EPS (Rs.),Diluted EPS (Rs.),"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",Imported Raw Materials,Indigenous Raw Materials,"STORES, SPARES AND LOOSE TOOLS",Imported Stores And Spares,Indigenous Stores And Spares,DIVIDEND AND DIVIDEND PERCENTAGE,Equity Share Dividend,Tax On Dividend,Equity Dividend Rate (%)
PRECAM,Precision Camshafts Ltd.,,616.16,0.00,616.16,626.34,33.49,659.83,,222.01,0.00,0.00,-0.68,80.01,3.72,36.35,235.02,576.42,83.41,0.00,83.41,,24.44,0.00,-3.33,1.35,22.46,60.95,60.95,60.95,,,6.42,6.42,,0.0,0.00,,0.0,0.0,,10.45,0.0,10.00
PRECOT,Precot Ltd.,,918.69,0,918.69,953.82,7.24,961.06,,647.98,0.03,0,-24.72,84.63,36.14,33.4,218.13,995.58,-34.52,0,-34.52,,0,0,-8.5,0,-8.5,-26.02,-26.02,-26.02,,,-21.69,-21.69,,200.04,447.94,,0,0.0,,7.2,0.0,0
PRECWIRE,Precision Wires India Ltd.,,"3,522.42",645.01,"2,877.42","3,033.58",21.89,"3,055.47",,"2,794.63",0.24,0.00,-9.69,35.10,32.91,14.17,106.84,"2,974.19",81.28,0.00,81.28,,20.25,0.00,0.97,0.57,21.79,59.49,59.49,59.49,,,3.33,3.33,,217.2,"2,577.42",,0.54,3.79,,14.45,0.0,96.00
PREMEXPLN,Premier Explosives Ltd.,,201.54,0,201.54,202.03,2.16,204.19,,107.67,6.97,0,-27.69,50.94,9.19,9.82,38.33,195.23,8.96,0,8.96,,0.67,0,1.6,0,2.27,6.68,6.68,6.68,,,6.22,6.22,,0,0,,0,0.0,,1.61,0.0,17
PREMIER,Premier Ltd.,,0,0,0,0,0.35,0.35,,0,0,0,0,0,1.8,10.23,1.97,14.01,-13.65,0,-13.65,,0,0,0,0,0,-13.65,-13.65,-13.65,,,-4.49,-4.49,,0,0,,0,0.0,,0,0.0,0
PREMIERPOL,Premier Polyfilm Ltd.,,286.3,35.21,251.09,252.69,0.81,253.5,,173.32,8.68,19.42,-3.05,23.22,2.73,4.93,9.05,238.3,15.2,0,15.2,,4.14,0,-0.53,-0.09,3.52,11.68,11.68,11.68,,,5.58,5.58,,0,0,,0,0.0,,1.05,0.0,10
PRESTIGE,Prestige Estates Projects Ltd.,,"4,200.10",0.00,"4,200.10","4,329.70",107.00,"4,436.70",,0.00,0.00,"2,491.50",81.90,281.80,331.30,331.70,523.90,"4,042.10",394.60,20.40,415.00,,35.00,0.00,39.10,0.0,74.10,340.90,340.90,340.90,,,8.50,8.5,,0.0,0.00,,0.0,0.0,,60.10,0.0,15.00
PRICOLLTD,Pricol Ltd.,,"1,871.92",0,"1,871.92","1,927.65",4.02,"1,931.67",,"1,327.68",59.72,0,-9.95,220.38,18.27,76.16,117.91,"1,810.17",121.5,9.75,131.25,,33.14,0,-14.47,0,18.67,112.58,112.58,112.58,,,9.24,9.24,,0,0,,0,0.0,,0,0.0,0
PRIMESECU,Prime Securities Ltd.,,24.04,0,24.04,24.04,4.69,28.73,,0,0,1.54,0,11.24,0.65,1,5.74,19.62,9.11,1.73,10.84,,1.97,0,-0.59,1.7,3.08,7.76,7.76,7.76,,,2.44,2.3,,0,0,,0,0.0,,7.17,0.0,10
PRIVISCL,Privi Speciality Chemicals Ltd.,,"1,575.42",0,"1,575.42","1,577.84",21.6,"1,599.44",,"1,133.22",0,0,-182.44,72.35,66.62,105.16,373.25,"1,568.17",31.27,0,31.27,,3.34,0,5.46,0,8.8,22.47,22.47,22.47,,,5.75,5.75,,0,0,,0,0.0,,7.81,0.0,0
PRUDMOULI,Prudential Sugar Corporation Ltd.,,80.7,0,80.7,80.7,4.17,84.86,,0,79.07,0,0,0.42,0.57,0.01,1.02,81.09,3.77,0,3.77,,1.05,0,0,0,1.05,2.72,2.72,2.72,,,0.64,0.82,,0,0,,0,0.0,,0,0.0,0
PSPPROJECT,PSP Projects Ltd.,,"1,912.80",0,"1,912.80","1,926.65",27.1,"1,953.74",,599.42,0,"1,004.70",-22.07,93.45,31.96,40.01,26.14,"1,773.60",180.14,0,180.14,,49.91,0,-2.79,0,47.12,133.02,133.02,133.02,,,36.95,36.95,,0,0,,0,0.0,,18,0.0,25
PTC,PTC India Ltd.,,"14,523.57",0,"14,523.57","14,887.44",22.13,"14,909.57",,0,0,134.62,0,60.61,28.92,3.86,60.92,"14,478.13",431.44,50,481.44,,118.21,0,-6.51,0,111.7,369.74,369.74,369.74,,,12.49,12.49,,0,0,,0,0.0,,171.68,0.0,78
PTL,PTL Enterprises Ltd.,,64.34,0,64.34,64.34,4.19,68.53,,0,0,0,0,3.16,6.73,2.05,3.25,15.19,53.34,0,53.34,,14.34,0,-0.27,16,30.06,23.28,23.28,23.28,,,1.76,1.76,,0,0,,0,0.0,,26.48,0.0,175
PUNJABCHEM,Punjab Chemicals & Crop Protection Ltd.,,976.2,0,976.2,"1,003.73",3.97,"1,007.70",,655.07,3.48,0,-22.39,83.28,17.8,19.01,162.73,918.98,88.72,0,88.72,,26.26,0,1.52,0,27.78,60.94,60.94,60.94,,,49.71,49.71,,0,0,,0,0.0,,3.68,0.0,30
PVRINOX,PVR INOX Ltd.,,"3,545.83",0,"3,545.83","3,559.17",76.86,"3,636.03",,0,0,"1,164.63",0,419.25,568.62,740.71,939.02,"3,832.23",-196.2,-10.82,-207.02,,0,0,125.96,0,125.96,-332.98,-332.98,-332.98,,,-51.26,-51.26,,0,0,,0,0.0,,0,0.0,0
QUICKHEAL,Quick Heal Technologies Ltd.,,278.11,0,278.11,278.11,22.38,300.49,,1.11,0,7.83,0.39,154.89,0,15.99,111.09,291.3,9.19,0.1,9.29,,1.25,0,0.48,-0.14,1.59,7.7,7.7,7.7,,,1.38,1.38,,0,0,,0,0.0,,26.11,0.0,25
RADAAN,Radaan Mediaworks India Ltd.,,12.43,0,12.43,12.43,0.01,12.44,,0,0,15.32,-7.24,1.03,2.43,0.07,2.56,14.17,-1.73,0,-1.73,,0,0,-0.03,0,-0.03,-1.7,-1.7,-1.7,,,-0.31,-0.31,,0,0,,0,0.0,,0,0.0,0
RADICO,Radico Khaitan Ltd.,,"12,705.51","9,601.10","3,104.42","3,142.82",9.39,"3,152.21",,"1,917.60",6.59,0,-96.27,168.92,22.12,70.9,787.57,"2,877.43",274.78,0,274.78,,68.89,0,1.47,0,70.36,204.42,204.42,204.42,,,15.29,15.29,,0,0,,0,0.0,,40.1,0.0,150
RAJSREESUG,Rajshree Sugars and Chemicals Ltd.,,764.69,0,764.69,766.92,7.03,773.95,,541.31,0,0,26.59,39.23,14.19,24.21,107.69,753.22,20.73,0,20.73,,0,-16.35,13.35,0,29.7,-8.97,-8.97,-8.97,,,-2.71,-2.71,,0,0,,0,0.0,,0,0.0,0
RAJTV,Raj Television Network Ltd.,,84.79,0,84.79,84.79,0.66,85.45,,0,0,47.92,0,16.81,3.08,1.64,14.35,83.8,1.65,0,1.65,,0.27,0,0.26,0,0.53,1.13,1.13,1.13,,,0.22,0.22,,0,0,,0,0.0,,0,0.0,0
RALLIS,Rallis India Ltd.,,"2,954.92",0,"2,954.92","2,966.97",12.71,"2,979.68",,"1,701.04",157.72,0,84.57,255.75,12.24,91.36,549.56,"2,852.23",127.45,0.62,128.07,,45.19,0,-9.07,0,36.13,91.94,91.94,91.94,,,4.73,4.73,,0,0,,0,0.0,,58.34,0.0,250
RAMANEWS,Shree Rama Newsprint Ltd.,,45.9,0,45.9,46.7,1.64,48.34,,26.42,0,0,-0.03,1.74,0,4.17,14.12,46.42,1.92,0,1.92,,0,0,0,0,0,1.92,1.92,-118.19,,,-8.01,-8.01,,0,0,,0,0.0,,0,0.0,0
RAMASTEEL,Rama Steel Tubes Ltd.,,"1,000.90",0,"1,000.90","1,009.87",3.99,"1,013.86",,855.16,81.68,0,10.42,9.26,11.3,3.08,20.47,991.37,22.49,0,22.49,,5.66,0,0.22,0.15,6.03,16.45,16.45,16.45,,,0.71,0.68,,0,0,,0,0.0,,0,0.0,0
RAMCOCEM,The Ramco Cements Ltd.,,"8,100.41",0,"8,100.41","8,135.27",36.7,"8,171.97",,"1,357.07",0,"4,805.45",-14.1,460,240.52,504.44,360.64,"7,698.28",473.69,0,473.69,,24.37,0,105.2,0.58,130.15,343.54,343.54,343.54,,,15,15,,0,0,,0,0.0,,70.96,0.0,200
RAMCOIND,Ramco Industries Ltd.,,"1,289.52",0,"1,289.52","1,310.06",29.09,"1,339.15",,717.71,11.41,152.6,-3.32,126.08,19.11,31.48,183.2,"1,238.28",100.87,3.07,103.94,,20.32,-3.84,2.35,-18.41,8.1,95.84,95.84,95.84,,,11.04,11.04,,0,0,,0,0.0,,8.67,0.0,100
RAMCOSYS,Ramco System Ltd.,,252.88,0,252.88,252.88,0.98,253.86,,0,0.23,0,0,196.61,8.73,73.92,100.51,380.01,-126.15,0,-126.15,,0.32,0,-13.47,0,-13.15,-113.01,-113.01,-113.01,,,-35.84,-35.84,,0,0,,0,0.0,,0,0.0,0
RANASUG,Rana Sugars Ltd.,,"1,612.14",0,"1,612.14","1,627.48",23.4,"1,650.89",,"1,279.48",13.46,0,-68.14,64.22,22.91,31.34,225.14,"1,568.41",82.48,0,82.48,,9.6,0,9.48,0,19.08,63.4,63.4,63.4,,,4.13,4.13,,0,0,,0,0.0,,0,0.0,0
RANEENGINE,Rane Engine Valves Ltd.,,486.21,0,486.21,497.57,2.06,499.63,,209.94,8.8,0,-2.64,124.5,10.11,19.28,122.81,492.8,6.83,-6.67,0.16,,0.33,0,-0.11,0,0.22,-0.06,-0.06,-0.06,,,-0.09,-0.09,,43.01,184.44,,0.51,30.96,,0,0.0,0
RANEHOLDIN,Rane Holdings Ltd.,,117.66,0,117.66,117.66,0.53,118.19,,0,0,0,0,23.21,5.61,4.37,23.05,56.24,61.95,-2.92,59.03,,11.18,0,-0.45,0,10.73,48.3,48.3,48.3,,,33.82,33.82,,0,0,,0,0.0,,17.13,0.0,170
RATNAMANI,Ratnamani Metals and Tubes Ltd.,,"4,357.46",0,"4,357.46","4,370.03",31.2,"4,401.24",,"3,025.69",0,0,-135.05,194.41,22.98,76.48,522.88,"3,707.40",693.84,0,693.84,,173.57,0,7.16,-0.92,179.81,514.03,514.03,514.03,,,73.34,73.34,,0,0,,0,0.0,,65.42,0.0,600
RBL,Rane Brake Linings Ltd.,,596.93,0,596.93,598.8,8.27,607.07,,345.06,0.04,0,-15.37,83.5,0.05,20,129.21,562.49,44.58,0,44.58,,12.19,0,-1.07,0,11.12,33.46,33.46,33.46,,,43.29,43.29,,0,0,,0,0.0,,15.46,0.0,250
RBLBANK,RBL Bank Ltd.,,"7,131.64","1,625.65",265.16,107.4,"9,129.85","2,489.43","11,619.28",,"4,678.39","1,340.34",196.41,"3,201.69","4,738.44",268.65,29.13,"1,021.95","1,319.73","10,736.56",882.72,882.72,-35.42,847.31,,221,3,200,0,0,0.0,226.17,847.31,,,14.72,14.66,,15,,,,,
RCF,Rashtriya Chemicals and Fertilisers Ltd.,,"7,816.48",0,"7,816.48","21,451.54",143.3,"21,594.84",,"8,839.60","3,047.43",0,252.96,692.37,223.86,212.12,"7,145.99","20,414.33","1,180.51",93.47,"1,273.98",,327.33,0,21.53,-42.03,306.83,967.15,967.15,967.15,,,17.53,17.53,,0,0,,0,0.0,,226.19,0.0,53
RECLTD,REC Ltd.,,"39,208.06",0,"39,208.06","39,208.06",44.67,"39,252.73",,0,0,16.29,0,181.63,"23,737.66",24.09,"1,439.38","25,513.96","13,738.77",0,"13,738.77",,"2,668.58",0,162.84,-147.29,"2,684.13","11,054.64","11,054.64","11,054.64",,,41.85,41.85,,0,0,,0,0.0,,"3,120.37",0.0,126
